user_id,music_id,rating
4,1088,1.2
2,1032,2.5
17,1075,1.7
19,1041,1.3
19,1075,3.1
13,1020,3.9
12,1084,2.2
12,1086,2.4
14,1061,3.8
18,1054,3.4
11,1013,4.5
5,1074,3.9
10,1043,5.0
14,1067,3.6
11,1021,2.8
7,1024,1.8
15,1063,3.6
2,1058,4.9
19,1076,4.2
6,1028,3.8
9,1033,4.9
11,1081,4.2
20,1095,4.0
9,1066,2.2
16,1098,4.1
18,1037,3.9
9,1034,2.1
9,1038,2.5
7,1084,4.9
5,1020,4.0
12,1010,3.9
18,1023,1.9
4,1096,2.0
7,1044,4.6
12,1089,3.7
9,1093,2.5
6,1053,1.9
11,1028,4.5
16,1017,2.3
11,1031,3.1
11,1007,3.3
11,1068,4.5
9,1056,4.9
15,1017,3.7
14,1025,2.3
6,1019,2.9
17,1004,1.7
10,1025,3.8
19,1039,4.0
9,1092,1.6
11,1028,4.7
8,1056,2.2
15,1056,4.3
15,1063,4.6
9,1022,3.5
11,1019,1.0
13,1022,1.4
11,1047,1.5
18,1066,4.5
8,1005,2.4
17,1040,3.7
1,1062,2.5
18,1047,1.6
6,1059,1.4
8,1099,3.0
7,1045,3.5
12,1051,1.5
2,1037,2.4
5,1064,5.0
16,1030,4.5
20,1048,4.6
13,1002,3.4
7,1076,1.1
9,1023,3.5
11,1075,2.6
6,1092,2.8
20,1025,1.7
15,1025,3.9
16,1082,3.3
19,1007,3.1
15,1022,2.1
5,1035,1.3
8,1073,3.7
13,1047,1.6
7,1096,1.2
12,1013,3.2
7,1051,1.8
5,1095,4.0
4,1091,4.4
16,1078,2.0
10,1020,4.7
18,1062,3.5
12,1093,3.8
14,1070,4.3
11,1055,3.2
12,1099,1.8
9,1091,2.4
8,1082,1.1
8,1036,4.7
5,1084,2.7
